text,label
Cảm thấy vui vẻ khi đi học cùng bạn thân.,Positive
Tranh luận sôi nổi về một vấn đề học thuật.,Positive
Mất tập trung vì tiếng ồn bên ngoài.,Negative
Sơ đồ tư duy giúp hệ thống kiến thức.,Neutral
Phấn viết bảng hết mực.,Neutral
Căng thẳng vì sắp đến hạn nộp đồ án.,Negative
Tìm được lỗi sai trong bài giải của mình.,Positive
Giáo viên hướng dẫn rất nhiệt tình.,Positive
Cảm thấy buồn vì bạn chuyển trường.,Negative
Nhà vệ sinh trường khá sạch sẽ.,Neutral
Lịch trực nhật lớp đã được phân công.,Neutral
Học thuộc lòng bảng tuần hoàn hóa học.,Neutral
Cảm thấy áp lực khi phải thi lại.,Negative
Tìm được một trang web học tiếng Anh hay.,Positive
Bài giảng hơi khó hiểu.,Negative
Đang chuẩn bị slide cho bài thuyết trình.,Neutral
Giờ học Giáo dục công dân.,Neutral
Cảm thấy tự tin vào khả năng của mình.,Positive
Lo sợ không theo kịp chương trình học.,Negative
Bút hết mực giữa giờ thi.,Negative
Không khí học tập rất tích cực.,Positive
Máy chiếu trong phòng học bị hỏng.,Negative
Đang nghe bạn trình bày ý kiến.,Neutral
Cần rèn luyện thêm kỹ năng giải toán.,Neutral
Hào hứng chờ đợi kết quả bài thi.,Positive
Mệt mỏi vì phải học quá nhiều lý thuyết.,Negative
Sổ đầu bài được ghi chép cẩn thận.,Neutral
Cảm thấy biết ơn sự giúp đỡ của bạn bè.,Positive
Thất vọng vì bài làm không tốt như mong đợi.,Negative
Chuẩn bị dụng cụ học tập cho ngày mai.,Neutral
Giáo viên thông báo lịch kiểm tra giữa kỳ.,Neutral
Cảm thấy vui khi được nghỉ học đột xuất.,Positive
Lo lắng về điểm số môn ngoại ngữ.,Negative
Đang ôn tập chuẩn bị cho bài kiểm tra 15 phút.,Neutral
Học nhóm hiệu quả hơn học một mình.,Positive
Cảm thấy quá tải với lượng kiến thức.,Negative
Sách tham khảo có bán ở nhà sách.,Neutral
Phấn khởi vì sắp đến kỳ nghỉ hè.,Positive
Buồn vì không được tham gia hoạt động ngoại khóa.,Negative
Bảng đen cần được lau sạch hơn.,Neutral
Tích cực xây dựng bài học.,Positive
Chán nản vì học phần này quá khó.,Negative
Đang ghi lại lời dặn của giáo viên.,Neutral
Hiểu rõ hơn về bài học sau khi thảo luận.,Positive
Cảm thấy mất hứng thú với việc học.,Negative
Thời khóa biểu có thay đổi nhỏ.,Neutral
Tự hào khi được tuyên dương trước lớp.,Positive
Xấu hổ vì bị điểm kém.,Negative
Đang đánh dấu những ý chính trong sách.,Neutral
Cảm thấy may mắn khi có những người bạn tốt.,Positive
Bực bội vì bạn học nói chuyện riêng trong giờ.,Negative
Phòng học được quét dọn sạch sẽ.,Neutral
Tự tin trình bày quan điểm cá nhân.,Positive
Lo sợ bị gọi lên bảng kiểm tra bài cũ.,Negative
Giáo viên đang giải thích một khái niệm mới.,Neutral
Cảm thấy việc học rất thú vị và bổ ích.,Positive
Mệt mỏi sau một ngày học dài.,Negative
Đang chuẩn bị cho kỳ thi học sinh giỏi.,Neutral
Đạt được tiến bộ rõ rệt trong môn Văn.,Positive
Cảm thấy bế tắc khi làm bài tập nhóm.,Negative
Sổ liên lạc điện tử cập nhật thông tin.,Neutral
Học thuộc lòng bài thơ nhanh chóng.,Positive
Quên sách giáo khoa ở nhà.,Negative
Cần xem lại bài giảng hôm qua.,Neutral
Nhận được phản hồi tích cực từ giáo viên về bài luận.,Positive
Cảm thấy áp lực từ sự kỳ vọng của gia đình.,Negative
Giờ ra chơi đang diễn ra.,Neutral
Tham gia câu lạc bộ học thuật giúp mở rộng kiến thức.,Positive
Không hiểu yêu cầu của đề bài.,Negative
Thông tin tuyển sinh đại học đã có.,Neutral
Luôn hoàn thành bài tập về nhà đúng hạn.,Positive
Bị điểm thấp môn Sử vì không học bài.,Negative
Đang mượn bút của bạn.,Neutral
Cảm thấy hứng khởi khi giải được bài toán hình học khó.,Positive
Buồn ngủ trong giờ học buổi chiều.,Negative
Cần mua thêm vở ô ly.,Neutral
Được bạn bè giúp đỡ ôn tập trước kỳ thi.,Positive
Cảm thấy lạc lõng khi mới chuyển lớp.,Negative
Giáo viên đang phân công nhiệm vụ cho các nhóm.,Neutral
Kết quả học tập cuối năm đạt loại Giỏi.,Positive
Lo lắng về tương lai sau khi tốt nghiệp.,Negative
Bảng tin lớp có thông báo mới.,Neutral
Tự giác tìm hiểu thêm kiến thức ngoài sách vở.,Positive
Mất tập trung vì điện thoại reo trong lớp.,Negative
Đang ghi chú những điều quan trọng.,Neutral
Cảm thấy vui vì được tham gia chuyến đi dã ngoại của trường.,Positive
Thất vọng vì không đạt giải trong cuộc thi.,Negative
Cần nộp giấy xin phép nghỉ học.,Neutral
Học cách quản lý thời gian hiệu quả hơn.,Positive
Cảm thấy bị đối xử không công bằng.,Negative
Giờ học Tin học tại phòng máy.,Neutral
Đạt điểm cao nhất lớp môn tiếng Anh.,Positive
Sợ hãi khi phải thuyết trình trước đám đông.,Negative
Đang làm thí nghiệm trong phòng Hóa học.,Neutral
Cảm thấy tự hào về thành tích của lớp.,Positive
Chán nản vì lịch học quá dày đặc.,Negative
Cần chuẩn bị bài cho buổi seminar sắp tới.,Neutral
Học hỏi được nhiều kinh nghiệm từ anh chị khóa trên.,Positive
Mâu thuẫn với bạn trong nhóm làm việc.,Negative
Trường tổ chức buổi hướng nghiệp.,Neutral
Luôn tích cực phát biểu xây dựng bài.,Positive
Cảm thấy kiến thức bị hổng nhiều.,Negative
Đang đọc tài liệu tham khảo trong thư viện.,Neutral
Nhận được học bổng toàn phần du học.,Positive
Áp lực về việc chọn trường đại học.,Negative
Giờ thể dục học nhảy cao.,Neutral
Cảm thấy môn học này rất thực tế và hữu ích.,Positive
Không tìm được tài liệu cần thiết cho bài nghiên cứu.,Negative
Đang vẽ biểu đồ cho bài báo cáo.,Neutral
Vui vẻ tham gia hoạt động văn nghệ của trường.,Positive
Cảm thấy bị bỏ lại phía sau so với các bạn.,Negative
Lớp trưởng đang phổ biến nội dung họp lớp.,Neutral
Đạt chứng chỉ tin học văn phòng loại giỏi.,Positive
Lo sợ kết quả thi sẽ không tốt.,Negative
Cần photo bài tập cho cả nhóm.,Neutral
Cảm thấy yêu thích việc khám phá kiến thức mới.,Positive
Mệt mỏi vì ôn thi liên tục nhiều ngày.,Negative
Giờ Sinh học quan sát mẫu vật.,Neutral
Tự tin trả lời phỏng vấn xin học bổng.,Positive
Cảm thấy khó khăn khi học từ vựng mới.,Negative
Đang tìm kiếm thông tin dự án trên internet.,Neutral
Được thầy cô khen ngợi vì sự chăm chỉ.,Positive
"Buồn vì làm bài thi không cẩn thận, sai sót nhiều.",Negative
Cần ghi nhớ các mốc lịch sử quan trọng.,Neutral
Học được cách làm việc nhóm hiệu quả.,Positive
Cảm thấy đuối sức khi học quá nhiều môn cùng lúc.,Negative
Giáo viên đang kiểm tra bài cũ đầu giờ.,Neutral
Hoàn thành xuất sắc nhiệm vụ trực tuần.,Positive
Lo lắng vì chưa chuẩn bị kịp bài thuyết trình.,Negative
Đang thảo luận về kế hoạch học tập học kỳ mới.,Neutral
Cảm thấy vui vì nhận được sách mới.,Positive
Thất vọng vì kết quả không như kỳ vọng.,Negative
Cần rèn luyện kỹ năng nghe tiếng Anh.,Neutral
Được bầu chọn là học sinh tiêu biểu của trường.,Positive
Cảm thấy nhàm chán với cách học thuộc lòng.,Negative
"Giờ học nhạc, cả lớp đang hát.",Neutral
Tự tin giải quyết các bài tập nâng cao.,Positive
Sợ bị điểm kém ảnh hưởng đến hạnh kiểm.,Negative
Đang xem lại các công thức Toán học.,Neutral
Cảm thấy hứng thú với dự án nghiên cứu khoa học.,Positive
Mất ngủ vì lo lắng cho kỳ thi sắp tới.,Negative
Cần chuẩn bị trang phục cho buổi biểu diễn văn nghệ.,Neutral
Đạt giải cao trong cuộc thi sáng tạo khoa học kỹ thuật.,Positive
Cảm thấy bất lực khi không hiểu bài giảng.,Negative
Đang làm bài tập thực hành trên máy tính.,Neutral
Vui vì được ngồi cùng bàn với bạn thân.,Positive
Buồn vì bị bạn bè hiểu lầm.,Negative
Thông báo về việc thu học phí.,Neutral
Học thuộc nhanh các định nghĩa môn Lý.,Positive
Cảm thấy không có hứng thú với môn học này.,Negative
Đang gạch chân những ý quan trọng trong bài.,Neutral
Tự hào khi đại diện lớp tham gia thi đấu thể thao.,Positive
Áp lực khi phải hoàn thành nhiều deadline cùng lúc.,Negative
"Giờ học Địa lý, xem bản đồ thế giới.",Neutral
Cảm thấy việc học ngày càng thú vị hơn.,Positive
Nản lòng vì học mãi không tiến bộ.,Negative
Cần chuẩn bị báo cáo thực tập.,Neutral
Được nhận vào trường đại học mơ ước.,Positive
Lo lắng vì không biết chọn ngành gì.,Negative
Đang sắp xếp lại sách vở trên bàn học.,Neutral
Cảm thấy vui khi giúp đỡ bạn bè hiểu bài.,Positive
Bực mình vì bị mất bút.,Negative
Giáo viên đang nhận xét bài làm của học sinh.,Neutral
Hoàn thành tốt bài kiểm tra cuối chương.,Positive
Cảm thấy cô đơn trong môi trường học tập mới.,Negative
Cần đọc kỹ hướng dẫn trước khi làm bài.,Neutral
Tự tin với kiến thức đã ôn tập.,Positive
Sợ rằng mình sẽ làm bố mẹ thất vọng.,Negative
Đang vẽ sơ đồ cấu trúc phân tử Hóa học.,Neutral
Hào hứng tham gia buổi workshop về kỹ năng mềm.,Positive
Mệt mỏi vì phải di chuyển xa để đến trường.,Negative
Cần đăng ký tham gia hoạt động tình nguyện.,Neutral
Đạt điểm tối đa trong bài thi nói tiếng Anh.,Positive
Cảm thấy khó tập trung trong giờ học.,Negative
Đang ôn lại ngữ pháp tiếng Pháp.,Neutral
"Vui vì được thầy cô động viên, khích lệ.",Positive
Buồn vì kết quả thi không phản ánh đúng năng lực.,Negative
Sổ ghi đầu bài được đặt trên bàn giáo viên.,Neutral
"Học cách trình bày bài làm khoa học, rõ ràng.",Positive
Cảm thấy choáng ngợp với lượng kiến thức mới.,Negative
Đang tìm kiếm sách trong thư viện theo mã số.,Neutral
Tự hào về những gì mình đã đạt được trong học kỳ.,Positive
Lo lắng về buổi phỏng vấn xin thực tập.,Negative
Cần chuẩn bị dụng cụ cho giờ học Mỹ thuật.,Neutral
Cảm thấy có động lực phấn đấu hơn nữa.,Positive
Nản chí khi gặp phải bài tập quá khó.,Negative
Giáo viên đang chiếu video minh họa bài giảng.,Neutral
Vui vẻ trò chuyện với bạn bè trong giờ giải lao.,Positive
Cảm thấy bị stress vì lịch trình dày đặc.,Negative
Đang ghi lại lịch thi vào sổ tay.,Neutral
Đạt thành tích tốt trong kỳ thi thử đại học.,Positive
Sợ không đủ điểm để qua môn.,Negative
Cần chuẩn bị tâm lý tốt trước khi thi.,Neutral
Cảm thấy hứng thú khi học về lịch sử Việt Nam.,Positive
Mất hứng thú vì bài giảng quá khô khan.,Negative
Đang làm bài tập về nhà môn Sinh học.,Neutral
Tự tin tham gia tranh luận trên lớp.,Positive
"Buồn vì bị ốm, phải nghỉ học nhiều ngày.",Negative
Thông báo về kế hoạch ôn tập cuối kỳ.,Neutral
Học được nhiều điều hay từ sách báo.,Positive
Cảm thấy gánh nặng khi là niềm hy vọng của gia đình.,Negative
Đang xem điểm thi trên hệ thống online.,Neutral
Vui vì bài thuyết trình nhóm được đánh giá cao.,Positive
Thất vọng vì không được chọn vào đội văn nghệ.,Negative
Cần nộp lại bài luận đã chỉnh sửa.,Neutral
Cảm thấy tiến bộ trong cách tư duy logic.,Positive
Lo lắng vì chưa tìm được phương pháp học hiệu quả.,Negative
Giờ học Công nghệ tìm hiểu về robot.,Neutral
Tự hào khi được đại diện trường tham dự hội thảo.,Positive
Cảm thấy bị tụt hậu so với chương trình.,Negative
Đang đọc quy chế thi tốt nghiệp.,Neutral
Vui vì tìm được người cùng chí hướng học tập.,Positive
"Bực bội vì mạng internet chậm, không học online được.",Negative
Cần chuẩn bị hồ sơ đăng ký xét tuyển.,Neutral
Đạt kết quả cao trong kỳ thi năng lực ngoại ngữ.,Positive
Cảm thấy áp lực khi phải cạnh tranh với bạn bè.,Negative
Đang làm bài kiểm tra trắc nghiệm trên máy tính.,Neutral
"Cảm thấy yêu trường, yêu lớp hơn.",Positive
Nản lòng khi kết quả không như mong đợi dù đã cố gắng.,Negative
Giáo viên đang hướng dẫn cách làm bài tập dự án.,Neutral
Vui vì được nghỉ lễ dài ngày.,Positive
Lo sợ vì kiến thức nền tảng không vững.,Negative
Cần mua thêm giấy kiểm tra.,Neutral
Tự tin chinh phục những môn học khó.,Positive
Cảm thấy mất phương hướng trong việc học.,Negative
Đang xem lại video thí nghiệm Vật lý.,Neutral
Hào hứng với tiết học thực hành ngoài trời.,Positive
Mệt mỏi vì thức khuya học bài liên tục.,Negative
Cần hoàn thành bản tự kiểm điểm cá nhân.,Neutral
Đạt giải Nhất cuộc thi viết thư UPU cấp trường.,Positive
Sợ bị giáo viên gọi trả bài đột xuất.,Negative
Đang thảo luận nhóm về đề tài nghiên cứu.,Neutral
Cảm thấy vui khi nhận được lời khen từ bạn bè.,Positive
Buồn vì phải chia tay thầy cô và bạn bè cuối cấp.,Negative
Thông báo về lịch thi lại cho sinh viên.,Neutral
Học cách sắp xếp thời gian biểu hợp lý.,Positive
Cảm thấy căng thẳng trước mỗi kỳ thi quan trọng.,Negative
Đang ghi tên vào danh sách đăng ký tham gia câu lạc bộ.,Neutral
Tự hào khi tên mình được đọc trong lễ tuyên dương.,Positive
Thất vọng vì bài làm bị điểm thấp do chủ quan.,Negative
Cần chuẩn bị slide trình chiếu cho buổi báo cáo.,Neutral
Cảm thấy việc học nhẹ nhàng hơn khi có bạn đồng hành.,Positive
Nản chí vì gặp quá nhiều khó khăn trong học tập.,Negative
Giờ học Lịch sử tìm hiểu về các triều đại phong kiến.,Neutral
Vui vì đã vượt qua được môn học ám ảnh nhất.,Positive
Lo lắng về việc chọn tổ hợp môn thi đại học.,Negative
Đang làm thủ tục nhập học đầu năm.,Neutral
Tự tin vào kiến thức và kỹ năng của bản thân.,Positive
Cảm thấy bị quá tải thông tin.,Negative
Cần rèn luyện thêm khả năng viết luận.,Neutral
Hào hứng chờ đón năm học mới với nhiều thử thách.,Positive
Mất động lực học tập vì kết quả không tốt.,Negative
Đang xem lại các dạng bài tập Toán thường gặp.,Neutral
Vui vì được tham gia trại hè khoa học.,Positive
Buồn vì không thể tham gia buổi học nhóm do bận việc.,Negative
Giáo viên đang giới thiệu sách tham khảo hay.,Neutral
Đạt thành tích xuất sắc trong học kỳ vừa qua.,Positive
Cảm thấy áp lực khi phải giữ vững thành tích.,Negative
Cần chuẩn bị đầy đủ dụng cụ học tập trước khi đến lớp.,Neutral
Tự hào khi là thành viên của lớp chuyên.,Positive
Lo sợ không đáp ứng được yêu cầu của môn học.,Negative
Đang ôn tập kiến thức chuẩn bị cho thi cuối kỳ.,Neutral
"Cảm thấy vui vẻ, thoải mái khi đến trường.",Positive
Mệt mỏi vì áp lực điểm số từ gia đình và thầy cô.,Negative
Cần tìm hiểu về các phương pháp học tập hiệu quả.,Neutral
Học được nhiều kỹ năng mềm cần thiết cho tương lai.,Positive
Cảm thấy chán nản vì phải học những môn không yêu thích.,Negative
Đang ghi lại công thức Hóa học vào sổ tay.,Neutral
Tự tin đạt điểm cao trong bài kiểm tra sắp tới.,Positive
Sợ bị bạn bè chê cười vì học kém.,Negative
Thông báo về việc thay đổi phòng học.,Neutral
Cảm thấy hứng thú với cách giải bài tập mới lạ.,Positive
Mất tập trung vì những chuyện cá nhân.,Negative
Cần hoàn thành bài thu hoạch sau chuyến đi thực tế.,Neutral
Đạt giải Khuyến khích trong kỳ thi Olympic cấp thành phố.,Positive
Cảm thấy bất an về kết quả xét tuyển.,Negative
Đang làm bài tập về nhà môn Ngữ văn.,Neutral
Vui vì được học cùng những người bạn giỏi giang.,Positive
Buồn vì phải học lại môn do điểm quá thấp.,Negative
Giờ học Mỹ thuật vẽ tranh phong cảnh.,Neutral
Tự hào về sự tiến bộ của bản thân qua từng ngày.,Positive
Cảm thấy bế tắc khi không tìm ra lỗi sai trong bài code.,Negative
Cần chuẩn bị cho buổi phỏng vấn học bổng.,Neutral
Hào hứng với các hoạt động ngoại khóa của trường.,Positive
Nản lòng vì lượng kiến thức quá lớn cần ghi nhớ.,Negative
Đang đọc sách chuyên ngành tại thư viện.,Neutral
Vui vì nhận được sự công nhận từ thầy cô.,Positive
Lo lắng vì thời gian ôn thi còn lại quá ít.,Negative
Cần tập trung nghe giảng để hiểu bài.,Neutral
Cảm thấy tự tin hơn sau mỗi lần thuyết trình.,Positive
Mệt mỏi vì lịch học và lịch thi dày đặc cuối kỳ.,Negative
Đang xem lại bản đồ tư duy đã vẽ.,Neutral
Đạt được mục tiêu đã đề ra cho môn học này.,Positive
Sợ rằng sẽ không thể theo kịp tiến độ học tập.,Negative
Cần hỏi lại giáo viên về phần chưa hiểu.,Neutral
Cảm thấy yêu thích môi trường học tập năng động.,Positive
Chán nản vì điểm số không cải thiện dù đã cố gắng.,Negative
Giờ học Thể dục chạy bền.,Neutral
Tự hào khi được đại diện cho trường đi thi đấu.,Positive
Cảm thấy áp lực từ việc phải đạt thành tích cao.,Negative
Đang ghi chép lại những ý chính của bài giảng.,Neutral
Vui vẻ khi tham gia các trò chơi học tập trên lớp.,Positive
Buồn vì không được chọn làm thành viên dự án yêu thích.,Negative
Cần rèn luyện kỹ năng đọc hiểu tiếng Anh.,Neutral
Học thuộc lòng công thức Vật lý dễ dàng.,Positive
Cảm thấy khó chịu vì tiếng ồn trong thư viện.,Negative
Đang xem thông báo về học bổng trên website trường.,Neutral
Tự tin hoàn thành bài thi cuối kỳ.,Positive
Lo sợ bị điểm thấp sẽ ảnh hưởng đến xếp loại tốt nghiệp.,Negative
Giáo viên đang hướng dẫn sử dụng phần mềm mới.,Neutral
Cảm thấy hứng thú với phương pháp học tập trực quan.,Positive
Mất hứng thú vì giáo viên giảng bài quá nhanh.,Negative
Cần chuẩn bị câu hỏi cho buổi thảo luận.,Neutral
Đạt điểm 9 môn Toán trong kỳ thi quan trọng.,Positive
Cảm thấy tự ti về khả năng của mình so với bạn bè.,Negative
Đang làm bài tập nhóm tại quán cà phê.,Neutral
Vui vì được thầy cô và bạn bè giúp đỡ nhiệt tình.,Positive
Thất vọng vì không thể áp dụng kiến thức đã học vào thực tế.,Negative
Cần ghi nhớ các sự kiện lịch sử thế giới.,Neutral
Học cách phân tích tác phẩm văn học sâu sắc hơn.,Positive
Cảm thấy quá tải vì vừa học vừa làm thêm.,Negative
Giờ học Âm nhạc tìm hiểu về các loại nhạc cụ.,Neutral
Tự hào khi bài viết được đăng trên báo tường của lớp.,Positive
Nản chí vì không hiểu được bản chất vấn đề.,Negative
Đang xem lại đề cương ôn tập môn Hóa học.,Neutral
Vui vì tìm được phương pháp học phù hợp với bản thân.,Positive
Lo lắng về bài kiểm tra nói sắp tới.,Negative
Cần chuẩn bị trang phục cho lễ khai giảng.,Neutral
Đạt giải Ba cuộc thi Tin học trẻ cấp quận.,Positive
Cảm thấy lạc lõng trong môi trường đại học rộng lớn.,Negative
Đang làm thí nghiệm đo gia tốc trọng trường.,Neutral
Hào hứng khi được thực hành tại phòng thí nghiệm hiện đại.,Positive
Mệt mỏi vì phải đi học thêm quá nhiều.,Negative
Cần nộp bài tập lớn đúng hạn.,Neutral
Vượt qua được nỗi sợ môn Hình học không gian.,Positive
Cảm thấy bị bỏ rơi khi bạn bè học nhóm mà không rủ.,Negative
Thông báo về lịch thi đấu thể thao cấp trường.,Neutral
Tự tin trình bày ý tưởng sáng tạo của mình.,Positive
Sợ hãi khi nghĩ đến khối lượng kiến thức cần ôn tập.,Negative
Đang vẽ đồ thị hàm số môn Toán.,Neutral
Vui vì nhận được giấy khen học sinh tiên tiến.,Positive
Buồn vì làm mất cuốn sách yêu thích mượn từ thư viện.,Negative
Cần chuẩn bị tâm lý vững vàng cho kỳ thi quan trọng.,Neutral
Học được cách tư duy phản biện hiệu quả.,Positive
Cảm thấy nhàm chán với việc lặp đi lặp lại kiến thức cũ.,Negative
Giờ học Giáo dục quốc phòng - An ninh.,Neutral
Tự hào khi được đại diện trường phát biểu trong lễ tốt nghiệp.,Positive
"Áp lực khi là con một, phải học thật giỏi.",Negative
Đang xem lại bài giảng online đã bỏ lỡ.,Neutral
Vui vì được tham gia khóa học kỹ năng mềm miễn phí.,Positive
Thất vọng vì không đạt được mục tiêu điểm số đã đề ra.,Negative
Cần rèn luyện kỹ năng thuyết trình trước đám đông.,Neutral
Cảm thấy tiến bộ vượt bậc trong môn ngoại ngữ.,Positive
Lo lắng vì chưa biết cách viết báo cáo khoa học.,Negative
Đang làm bài tập thực hành trên phần mềm mô phỏng.,Neutral
Hào hứng với chuyến đi thực tế tại doanh nghiệp.,Positive
Mất động lực vì cảm thấy việc học không có mục tiêu rõ ràng.,Negative
Cần tìm hiểu về các ngành nghề hot hiện nay.,Neutral
Đạt học bổng khuyến khích học tập của khoa.,Positive
Cảm thấy bị so sánh với anh chị em trong nhà.,Negative
Giờ học Mỹ thuật nặn tượng bằng đất sét.,Neutral
Vui vì giải được bài tập hóc búa mà nhiều bạn không làm được.,Positive
Buồn vì kết quả học tập sa sút so với học kỳ trước.,Negative
Cần chuẩn bị hồ sơ xin việc làm thêm.,Neutral
Tự tin giao tiếp với người nước ngoài bằng tiếng Anh.,Positive
Cảm thấy khó khăn khi phải tự học một mình.,Negative
Đang ôn tập lại kiến thức về văn học trung đại.,Neutral
Học được cách tổ chức công việc hiệu quả.,Positive
Nản lòng khi gặp phải giáo viên khó tính.,Negative
Thông báo về buổi nói chuyện chuyên đề.,Neutral
Tự hào khi được thầy cô đánh giá cao về thái độ học tập.,Positive
Sợ không đủ khả năng để theo đuổi ngành học yêu thích.,Negative
Đang ghi lại các bước giải bài toán tích phân.,Neutral
Vui vì được tham gia dự án tình nguyện ý nghĩa.,Positive
Mệt mỏi vì phải cân bằng giữa học tập và hoạt động ngoại khóa.,Negative
Cần đọc thêm sách báo để mở rộng kiến thức xã hội.,Neutral
Đạt điểm tuyệt đối bài kiểm tra 1 tiết môn Lý.,Positive
"Cảm thấy bị áp đặt trong việc chọn ngành, chọn trường.",Negative
Giờ học Công nghệ lắp ráp mô hình.,Neutral
Hào hứng khám phá những lĩnh vực kiến thức mới.,Positive
Mất hứng thú vì không khí lớp học trầm lắng.,Negative
Đang xem lại video hướng dẫn giải đề thi năm trước.,Neutral
Vui vì kết quả cuối kỳ vượt xa mong đợi.,Positive
Lo lắng về khả năng tìm được việc làm sau khi tốt nghiệp.,Negative
Cần chuẩn bị bài thuyết trình nhóm thật tốt.,Neutral
Cảm thấy tự tin hơn vào năng lực của bản thân.,Positive
Buồn vì lỡ mất buổi học quan trọng do ngủ quên.,Negative
Đang làm bài tập lớn môn Lập trình.,Neutral
Học được cách làm việc hiệu quả dưới áp lực.,Positive
Cảm thấy chán nản vì lịch học quá cứng nhắc.,Negative
Giờ học Sinh học mổ và quan sát ếch.,Neutral
Tự hào khi được nhận vào chương trình trao đổi sinh viên.,Positive
Sợ bị bạn bè xa lánh vì học giỏi hơn.,Negative
Đang ghi chú lại những từ vựng tiếng Anh mới.,Neutral
Vui vì tìm được nguồn cảm hứng học tập.,Positive
Mệt mỏi vì lượng bài tập về nhà quá nhiều.,Negative
Cần rèn luyện tính kiên nhẫn khi giải bài tập khó.,Neutral
Đạt danh hiệu Sinh viên 5 tốt cấp trường.,Positive
Cảm thấy lạc hậu so với kiến thức mới.,Negative
Đang xem lại các lỗi sai trong bài kiểm tra cũ.,Neutral
Hào hứng tham gia cuộc thi Rung chuông vàng.,Positive
Nản chí vì học mãi mà vẫn không hiểu rõ vấn đề.,Negative
Cần chuẩn bị CV để xin thực tập.,Neutral
"Vui vì được học trong một môi trường thân thiện, tích cực.",Positive
Lo lắng vì chưa ôn tập kỹ lưỡng cho kỳ thi.,Negative
Giờ học Địa lý tìm hiểu về các loại khoáng sản.,Neutral
Cảm thấy tự tin hơn khi đứng trước lớp phát biểu.,Positive
Buồn vì bị điểm thấp do không đọc kỹ đề bài.,Negative
Đang làm bài tập về nhà môn Hóa hữu cơ.,Neutral
Học được cách sắp xếp và quản lý tài liệu học tập.,Positive
Cảm thấy mất động lực khi không thấy được ứng dụng thực tế của môn học.,Negative
Thông báo về lịch nghỉ Tết Nguyên Đán.,Neutral
Tự hào khi hoàn thành xuất sắc khóa luận tốt nghiệp.,Positive
Áp lực khi phải đưa ra quyết định quan trọng về tương lai.,Negative
"Đang xem lại công thức tính diện tích, thể tích.",Neutral
Vui vì được tham gia câu lạc bộ tranh biện của trường.,Positive
Mệt mỏi vì phải di chuyển giữa các cơ sở học tập.,Negative
Cần đọc thêm sách về kỹ năng giao tiếp.,Neutral
Đạt điểm cao trong kỳ thi đánh giá năng lực.,Positive
Cảm thấy bị cô lập vì không hòa đồng với bạn bè.,Negative
Giờ học Lịch sử nghe kể chuyện về các anh hùng dân tộc.,Neutral
Hào hứng với phương pháp học qua dự án.,Positive
Mất hứng thú vì nội dung bài giảng quá lý thuyết.,Negative
Đang chuẩn bị tài liệu cho buổi họp nhóm.,Neutral
Vui vì nhận được sự ủng hộ từ gia đình trong học tập.,Positive
Lo lắng về việc không đủ tín chỉ để tốt nghiệp đúng hạn.,Negative
Cần rèn luyện kỹ năng viết email chuyên nghiệp.,Neutral
Cảm thấy trưởng thành hơn qua những thử thách học tập.,Positive
Buồn vì phải chia tay mái trường thân yêu.,Negative
Đang làm bài tập thực hành kế toán trên phần mềm.,Neutral
Học được cách đối mặt và giải quyết khó khăn.,Positive
Cảm thấy nhàm chán vì lịch học lặp đi lặp lại.,Negative
Thông báo về việc đăng ký tín chỉ học kỳ mới.,Neutral
Tự hào khi được vinh danh trong lễ tổng kết năm học.,Positive
Sợ không tìm được công việc phù hợp với chuyên ngành.,Negative
Đang ghi lại những ý tưởng cho bài nghiên cứu khoa học.,Neutral
Vui vì tìm được nhóm bạn học tập cùng tiến bộ.,Positive
Mệt mỏi vì áp lực thi cử liên miên.,Negative
Cần chuẩn bị trang phục lịch sự cho buổi bảo vệ đồ án.,Neutral
Đạt học bổng du học tại một trường danh tiếng.,Positive
Cảm thấy bối rối trước quá nhiều lựa chọn nghề nghiệp.,Negative
Giờ học Văn phân tích nhân vật Chí Phèo.,Neutral
Hào hứng khi được áp dụng kiến thức vào thực tiễn.,Positive
Nản lòng vì môi trường học tập thiếu tính cạnh tranh.,Negative
Đang xem lại các bài báo khoa học liên quan đến đề tài.,Neutral
Vui vì đã chinh phục được môn học từng là nỗi ám ảnh.,Positive
Lo lắng về khả năng thích nghi với môi trường làm việc sau này.,Negative
Cần luyện tập giải các dạng đề thi thử.,Neutral
Cảm thấy tự tin hơn về tương lai của mình.,Positive
Buồn vì những hiểu lầm không đáng có với bạn bè.,Negative
Đang làm bài tập lập trình web.,Neutral
Học được cách quản lý tài chính cá nhân hiệu quả.,Positive
Cảm thấy kiệt sức sau một học kỳ căng thẳng.,Negative
Thông báo về quy định sử dụng thư viện.,Neutral
Tự hào khi được là cựu học sinh của trường.,Positive
Áp lực khi phải đáp ứng kỳ vọng của thầy cô.,Negative
Đang ghi chú lại thông tin quan trọng từ bài giảng.,Neutral
Vui vì được tham gia một khóa học online chất lượng.,Positive
Mệt mỏi vì phải di chuyển xa để tham gia học nhóm.,Negative
Cần tìm hiểu về các chứng chỉ nghề nghiệp liên quan.,Neutral
Đạt điểm cao môn chuyên ngành yêu thích.,Positive
Cảm thấy bị giới hạn bởi chương trình học.,Negative
Giờ học Thể dục tập bài thể dục nhịp điệu.,Neutral
Hào hứng với những kiến thức mới được học mỗi ngày.,Positive
