text,label,
The report consists of 5 main parts,Neutral,
I am drafting a reply email,Neutral,
Need to scan this document,Neutral,
Using Zoom software,Neutral,
The class ends at 5 PM,Neutral,
Almost lunchtime,Neutral,
The report file has been saved,Neutral,
Working hours are from 8 AM to 5 PM,Neutral,
I am reviewing the lecture slides,Neutral,
Need to send this document to the whole group,Neutral,
List of important tasks,Neutral,
Preparing for the customer meeting,Neutral,
Class information has been sent,Neutral,
Just need to double-check,Neutral,
Project B is in the planning phase,Neutral,
Attending a mandatory course,Neutral,
Checking the file again before sending,Neutral,
The extension deadline is the end of the month,Neutral,
Need to meet the academic advisor,Neutral,
Completed the task excellently,Positive,
The weekend workshop was very interesting,Positive,
Got valuable experience shared by colleagues,Positive,
Management acknowledged my efforts,Positive,
Course average score is 9.0,Positive,
Grasped the main points of the lesson,Positive,
No issues arose with the project,Positive,
Found the logic error in the code,Positive,
The new skill helps a lot,Positive,
Open work environment easy to discuss,Positive,
Found a website providing useful information,Positive,
The task management tool is very effective,Positive,
Work results are very promising,Positive,
Teamwork is very coordinated and fast,Positive,
Feeling very confident,Positive,
Completed exceeding the set target,Positive,
The presentation was listened to attentively by everyone,Positive,
The lecturer is always willing to help students,Positive,
The work was handled quickly,Positive,
Received positive feedback on LinkedIn,Positive,
This course is worth attending,Positive,
Everyone in the group has reconciled,Positive,
My communication skills are better than before,Positive,
Got accepted into the desired internship program,Positive,
Relationship with colleagues is very good,Positive,
Proposal for process improvement was approved,Positive,
Understand the company structure better,Positive,
Finished work on time today,Positive,
Learned how to create Pivot Tables in Excel,Positive,
Feeling satisfied with today's workday,Positive,
The requirements for this assignment are unclear,Negative,
The meeting didn't solve the root problem,Negative,
Stuck in traffic for almost an hour,Negative,
The projector in the meeting room is broken,Negative,
Don't understand what the boss wants,Negative,
Running out of time to submit the assignment,Negative,
Forgot the knowledge learned,Negative,
Cannot connect to the internal network,Negative,
Feel this job is overwhelming,Negative,
The document is lost somewhere,Negative,
Still too much work left undone,Negative,
No specific instructions for the new task yet,Negative,
Feeling a bit dizzy,Negative,
Accidentally overwrote the old file,Negative,
Definitely going to miss the deadline,Negative,
Slept during the online class,Negative,
Software is incompatible with the operating system,Negative,
The assignment is too difficult for the current level,Negative,
Constant notifications are distracting,Negative,
The initial plan needs a complete change,Negative,
Forgot to bring the laptop charger,Negative,
The result does not reflect the effort,Negative,
Feeling insecure when comparing with others,Negative,
The image lagged during the online meeting,Negative,
Cannot reach consensus within the group,Negative,
Lack of necessary statistical data,Negative,
Received a rather harsh feedback email,Negative,
The office atmosphere is a bit gloomy,Negative,
The lecturer has a regional accent that is hard to hear,Negative,
Worried about the upcoming interview,Negative,
The meeting takes place at 10 AM tomorrow,Neutral,
The report needs the department head's signature,Neutral,
I am checking everyone's availability,Neutral,
Need an official stamp on this document,Neutral,
Meeting via Microsoft Teams,Neutral,
This afternoon's class is canceled,Neutral,
It's break time now,Neutral,
The file has been saved on Google Drive,Neutral,
Workday ends at 5 PM,Neutral,
I am rewatching the lecture video,Neutral,
Need to send this announcement to all employees,Neutral,
List of tasks to complete this week,Neutral,
Preparing for the product demo session,Neutral,
Account information has been sent via email,Neutral,
Just need to review the main points,Neutral,
Project C is in the testing phase,Neutral,
Attending a seminar on AI,Neutral,
Confirming information with the customer again,Neutral,
The deadline for tuition payment is the end of the week,Neutral,
Need to get a student confirmation letter,Neutral,
Completed the project on time and within budget,Positive,
The conversation with the mentor was very meaningful,Positive,
Friends shared good study materials,Positive,
The team leader acknowledged my contribution,Positive,
Final exam score is higher than expected,Positive,
Thoroughly understood the presented issue,Positive,
The project went unexpectedly smoothly,Positive,
Detected and fixed the error promptly,Positive,
Knowledge can be applied immediately in practice,Positive,
Everyone is very friendly and open,Positive,
Found inspiration for a new idea,Positive,
This tool is truly a lifesaver,Positive,
The final result is very satisfactory,Positive,
Task allocation in the group is very reasonable,Positive,
Feeling very optimistic about the future,Positive,
Completed all quarterly goals,Positive,
The group's presentation was rated the highest,Positive,
The lecturer explained very patiently,Positive,
Work is scientifically organized,Positive,
Received a connection request from an expert,Positive,
This course was worth the time invested,Positive,
All misunderstandings within the group have been cleared up,Positive,
Email writing skills are more professional,Positive,
Received a good job offer,Positive,
The team's spirit of solidarity is wonderful,Positive,
The proposal was included in the action plan,Positive,
Understand the company culture better,Positive,
Left the office on time this afternoon,Positive,
Learned how to use the VLOOKUP function effectively,Positive,
Feeling that today was really productive,Positive,
Assignment requirements are inconsistent,Negative,
The meeting wasted time without results,Negative,
Late for work due to a train breakdown,Negative,
Ran out of printer paper right when needed urgently,Negative,
Don't clearly understand the objective assigned by the boss,Negative,
Preparation time is too short,Negative,
Lost points unfairly due to presentation error,Negative,
Cannot log into the e-learning system,Negative,
Feel this job is too boring,Negative,
Cannot find the important email sent,Negative,
The to-do list is still too long,Negative,
No standard procedure for this yet,Negative,
Feeling a bit of a cold,Negative,
Forgot personal email password,Negative,
Most likely won't make it,Negative,
Missed the beginning of the online class,Negative,
Application frequently reports unknown errors,Negative,
This knowledge is too advanced for me,Negative,
The phone rings continuously,Negative,
Weekend travel plans were canceled,Negative,
Forgot to ask for their phone number,Negative,
The result is not as expected at all,Negative,
Feeling pressured to be perfect,Negative,
The audio was distorted during the online presentation,Negative,
Spent a lot of time arguing,Negative,
Lack of historical data for comparison,Negative,
Received a negative review online,Negative,
The classroom atmosphere is quite silent,Negative,
The lecturer speaks too fast can't take notes,Negative,
Worried about career future,Negative,
Meeting with the Marketing department at 9 AM,Neutral,
Q3 financial report has been completed,Neutral,
I am checking the attached file,Neutral,
Need the company's official seal,Neutral,
Meeting via Google Meet,Neutral,
Today's class ended early,Neutral,
Almost closing time,Neutral,
The file is stored on the shared server,Neutral,
Company is closed on Saturday and Sunday,Neutral,
I am reviewing the user manual,Neutral,
Need to send the update to everyone,Neutral,
List of event attendees,Neutral,
Preparing for this afternoon's interview,Neutral,
Login information has been provided,Neutral,
Just need to proofread for typos,Neutral,
Project D is expected to be completed next month,Neutral,
Attending a specialized talk,Neutral,
Waiting for feedback from the IT department,Neutral,
Scholarship application deadline,Neutral,
Need to get the transcript from the academic affairs office,Neutral,
Reached an important agreement with the partner,Positive,
The group study session was very effective and fun,Positive,
Received a salary increase according to the roadmap,Positive,
My time management skills are better,Positive,
The final essay grade was very high,Positive,
Clearly understood the core of the issue,Positive,
The project ended successfully,Positive,
Fixed the error in the report,Positive,
Learned how to create professional slides,Positive,
Friendly working atmosphere supportive of each other,Positive,
Found a reliable source of information,Positive,
The new tool helps minimize errors,Positive,
This result is a worthy reward,Positive,
Everyone in the group is united,Positive,
Feeling very interested in this work,Positive,
Completed the internal training course,Positive,
The group presentation was praised by the teacher,Positive,
Teachers always create conditions for students,Positive,
Work was completed before the deadline,Positive,
Customers highly appreciate the company's service,Positive,
This class really broadened my knowledge,Positive,
Resolved the technical issue,Positive,
My information search skills are faster,Positive,
Completed the online test smoothly,Positive,
Group work is very rhythmic,Positive,
My suggested contribution was acknowledged,Positive,
Mastered the specialized knowledge,Positive,
Work today wasn't difficult,Positive,
Learned about a hidden feature of the software,Positive,
Feeling confident in my abilities,Positive,
Got hired for the desired position,Positive,
The lecture quality was very good,Positive,
The new colleague is very friendly,Positive,
The boss assigned an interesting project,Positive,
Scores improved significantly,Positive,
Understood how the system operates,Positive,
The project has no budget issues,Positive,
Found an effective alternative solution,Positive,
Learned how to organize work scientifically,Positive,
Dynamic creative work environment,Positive,
This assignment is beyond me,Negative,
The meeting was postponed suddenly again,Negative,
Disturbed by phone calls while working,Negative,
The computer is running as slow as a turtle,Negative,
The user manual is too confusing,Negative,
Deadline is near but don't know where to start,Negative,
Made many careless mistakes on the exam,Negative,
Lost internet connection intermittently,Negative,
This job lacks challenge,Negative,
Couldn't find the confirmation email,Negative,
Too much work backlog from last week,Negative,
Customer feedback was very negative,Negative,
Feeling a bit flu-ish,Negative,
Accidentally deleted the wrong important folder,Negative,
Not enough time to prepare thoroughly,Negative,
Marked absent despite attending class,Negative,
The software requires too high system specs,Negative,
Don't clearly understand what the assignment asks for,Negative,
Distracted by people talking loudly,Negative,
Job requirements don't match my skills,Negative,
Forgot to bring necessary documents,Negative,
The result did not meet the minimum requirement,Negative,
Feeling unfairly treated,Negative,
Unstable network connection during online meeting,Negative,
Conflict over working methods,Negative,
Lack of practical experience,Negative,
Got reprimanded by a superior,Negative,
Working atmosphere lacks trust,Negative,
The lecture was too boring made me sleepy,Negative,
Worried about the thesis defense,Negative,
The meeting will take place in meeting room 3,Neutral,
The progress report needs to be updated,Neutral,
I am double-checking the contact information,Neutral,
Need to add paper to the printer,Neutral,
Working on the company laptop,Neutral,
The class will start 15 minutes late,Neutral,
Lunch break ends at 1 o'clock,Neutral,
The plan file has been shared,Neutral,
The office works until 5:30,Neutral,
I am rereading the notification email,Neutral,
Need to send meeting invitations to everyone,Neutral,
List of items to check,Neutral,
Preparing reference materials,Neutral,
Salary and bonus information is available,Neutral,
Just need to review the conclusion part,Neutral,
Project E is in the design phase,Neutral,
Attending a new product introduction session,Neutral,
Waiting for feedback from the accounting department,Neutral,
The deadline for course registration is approaching,Neutral,
Need to get an internship confirmation from the company,Neutral,
,,`
